Flight_ID,Date,Airline,Origin,Destination,Passenger_Name,Class,Fare,Status,Payment_Method,Cabin_Baggage_KG,Checkin_Baggage_KG
FL1068,2025-05-11,GoAir,Delhi,Singapore,Passenger_68,Business,15628.18,On-Time,Net Banking,5.0,25.0
FL1069,2025-03-27,SpiceJet,Bangalore,Singapore,Passenger_69,First Class,6854.5,Delayed,Debit Card,7.0,20.0
FL1070,2025-02-19,SpiceJet,Kolkata,Dubai,Passenger_70,Economy,16499.64,Cancelled,Credit Card,,
FL1071,2025-10-17,Air India,Chennai,Singapore,Passenger_71,Business,9204.4,On-Time,Credit Card,10.0,15.0
FL1072,2025-08-25,AirAsia,Chennai,Bangkok,Passenger_72,Economy,,Cancelled,UPI,10.0,15.0
FL1073,2025-12-06,AirAsia,Bangalore,Paris,Passenger_73,Economy,7356.72,Delayed,Credit Card,7.0,25.0
FL1074,2025-06-18,Air India,Chennai,Dubai,Passenger_74,Economy,14952.41,Delayed,UPI,5.0,20.0
FL1075,2025-03-17,AirAsia,Bangalore,Bangkok,Passenger_75,Economy,15414.98,On-Time,,,15.0
FL1076,2025-07-13,AirAsia,Delhi,Paris,Passenger_76,Economy,6739.34,Cancelled,Net Banking,,25.0
FL1077,2025-04-15,Vistara,Hyderabad,Paris,Passenger_77,Economy,6656.5,On-Time,UPI,10.0,20.0
FL1078,2025-03-09,GoAir,Bangalore,Singapore,Passenger_78,First Class,4448.01,Cancelled,Debit Card,,
FL1079,2025-06-20,AirAsia,Hyderabad,Paris,Passenger_79,Economy,6688.01,Cancelled,,7.0,25.0
FL1080,2025-03-25,AirAsia,Chennai,New York,Passenger_80,Economy,3645.13,On-Time,UPI,10.0,30.0
FL1081,2025-10-22,Vistara,Mumbai,New York,Passenger_81,Business,11037.28,On-Time,Net Banking,10.0,
FL1082,2025-05-07,AirAsia,Chennai,London,Passenger_82,Business,15778.75,Cancelled,,7.0,20.0
FL1083,2025-04-08,IndiGo,Bangalore,London,Passenger_83,Economy,9611.58,On-Time,Net Banking,5.0,30.0
FL1084,2025-12-16,SpiceJet,Mumbai,New York,Passenger_84,First Class,12481.75,On-Time,UPI,5.0,30.0
FL1085,2025-03-26,Air India,Chennai,Bangkok,Passenger_85,Business,6953.35,Cancelled,,,
FL1086,2025-08-19,Air India,Kolkata,New York,Passenger_86,First Class,6617.11,Delayed,Net Banking,,25.0
FL1087,2025-05-24,Vistara,Kolkata,Paris,Passenger_87,First Class,5857.42,Cancelled,,5.0,20.0
FL1088,2025-08-23,IndiGo,Kolkata,Dubai,Passenger_88,Economy,11757.34,Cancelled,Debit Card,5.0,15.0
FL1089,2025-09-24,IndiGo,Mumbai,New York,Passenger_89,Business,10490.49,Delayed,Net Banking,10.0,
FL1090,2025-07-10,AirAsia,Mumbai,Paris,Passenger_90,Business,16454.41,Cancelled,Net Banking,5.0,25.0
FL1091,2025-06-09,Vistara,Chennai,Singapore,Passenger_91,First Class,19901.52,Cancelled,,,15.0
FL1092,2025-03-25,Vistara,Delhi,New York,Passenger_92,First Class,10536.33,On-Time,UPI,10.0,
FL1093,2025-08-07,GoAir,Delhi,Singapore,Passenger_93,First Class,17076.45,On-Time,,,25.0
FL1094,2025-09-19,AirAsia,Mumbai,London,Passenger_94,First Class,3534.88,Cancelled,Net Banking,,25.0
FL1095,2025-10-01,AirAsia,Delhi,Dubai,Passenger_95,Business,6224.4,Delayed,UPI,7.0,20.0
FL1096,2025-05-21,IndiGo,Hyderabad,Singapore,Passenger_96,First Class,14736.82,Cancelled,,10.0,30.0
FL1097,2025-05-07,SpiceJet,Mumbai,New York,Passenger_97,First Class,7734.19,Delayed,UPI,10.0,30.0
FL1098,2025-03-06,Air India,Bangalore,London,Passenger_98,Economy,7426.15,On-Time,Debit Card,,
FL1099,2025-04-17,IndiGo,Hyderabad,Dubai,Passenger_99,Economy,16303.93,On-Time,Debit Card,10.0,30.0
FL1100,2025-01-18,AirAsia,Delhi,Paris,Passenger_100,Business,17685.9,Delayed,Credit Card,5.0,15.0
FL1101,2025-02-12,Air India,Delhi,Singapore,Passenger_101,Economy,12628.59,On-Time,Net Banking,10.0,25.0
FL1102,2025-07-05,IndiGo,Chennai,Dubai,Passenger_102,Economy,5773.38,On-Time,Credit Card,10.0,15.0
FL1103,2025-10-08,Vistara,Bangalore,Bangkok,Passenger_103,First Class,16229.52,On-Time,UPI,,20.0
FL1104,2025-05-17,IndiGo,Bangalore,Bangkok,Passenger_104,Business,17231.38,Cancelled,Debit Card,,30.0
FL1105,2025-05-09,AirAsia,Delhi,Bangkok,Passenger_105,Business,5038.68,On-Time,Credit Card,5.0,20.0
FL1106,2025-11-19,GoAir,Chennai,New York,Passenger_106,First Class,12297.08,On-Time,Credit Card,7.0,20.0
FL1107,2025-08-23,IndiGo,Bangalore,London,Passenger_107,First Class,6777.41,Cancelled,Debit Card,7.0,15.0
FL1108,2025-09-18,IndiGo,Chennai,London,Passenger_108,First Class,6742.71,Cancelled,Debit Card,7.0,25.0
FL1109,2025-12-23,AirAsia,Delhi,Bangkok,Passenger_109,Business,15841.19,On-Time,,,20.0
FL1110,2025-03-17,AirAsia,Bangalore,London,Passenger_110,Business,,Cancelled,UPI,10.0,15.0
FL1111,2025-03-09,Air India,Hyderabad,Singapore,Passenger_111,Business,,On-Time,,,
FL1112,2025-07-11,GoAir,Delhi,Bangkok,Passenger_112,Economy,3758.21,Delayed,,7.0,20.0
FL1113,2025-09-04,SpiceJet,Bangalore,Bangkok,Passenger_113,First Class,6999.34,Delayed,UPI,7.0,25.0
FL1114,2025-12-27,GoAir,Bangalore,Singapore,Passenger_114,First Class,3447.14,Delayed,Debit Card,,20.0
FL1115,2025-10-08,Vistara,Chennai,Dubai,Passenger_115,First Class,10524.84,Cancelled,Credit Card,7.0,25.0
FL1116,2025-12-28,GoAir,Delhi,London,Passenger_116,Business,18899.76,On-Time,Credit Card,7.0,30.0
FL1117,2025-10-05,GoAir,Bangalore,Dubai,Passenger_117,Economy,8967.07,Delayed,Credit Card,10.0,30.0
FL1118,2025-08-09,AirAsia,Mumbai,New York,Passenger_118,First Class,13525.25,Delayed,Debit Card,,
FL1119,2025-01-09,IndiGo,Delhi,Paris,Passenger_119,First Class,19888.58,Cancelled,UPI,10.0,20.0
FL1120,2025-03-06,Vistara,Kolkata,New York,Passenger_120,First Class,17409.67,On-Time,Credit Card,7.0,25.0
FL1121,2025-10-17,AirAsia,Chennai,London,Passenger_121,Business,14528.79,Cancelled,Debit Card,7.0,
FL1122,2025-09-04,SpiceJet,Hyderabad,Dubai,Passenger_122,Business,12505.94,Cancelled,Debit Card,7.0,
FL1123,2025-10-06,Vistara,Kolkata,New York,Passenger_123,Business,7516.26,Delayed,Debit Card,7.0,
FL1124,2025-01-08,Vistara,Mumbai,Dubai,Passenger_124,First Class,14779.04,Cancelled,Debit Card,,
FL1125,2025-02-21,IndiGo,Chennai,Paris,Passenger_125,Economy,16447.87,Delayed,Credit Card,,25.0
FL1126,2025-03-16,IndiGo,Delhi,New York,Passenger_126,Economy,4682.29,On-Time,Credit Card,7.0,20.0
FL1127,2025-04-21,SpiceJet,Kolkata,London,Passenger_127,Business,3599.77,Delayed,Net Banking,5.0,15.0
FL1128,2025-09-03,AirAsia,Bangalore,Bangkok,Passenger_128,Business,12382.79,On-Time,,5.0,20.0
FL1129,2025-04-11,AirAsia,Delhi,Singapore,Passenger_129,Business,14722.14,Delayed,Debit Card,7.0,30.0
FL1130,2025-01-19,Air India,Bangalore,Paris,Passenger_130,Business,8210.17,Cancelled,Credit Card,10.0,30.0
FL1131,2025-09-12,IndiGo,Chennai,New York,Passenger_131,Economy,14929.37,Delayed,UPI,5.0,20.0
FL1132,2025-11-13,Vistara,Bangalore,Bangkok,Passenger_132,First Class,,On-Time,Debit Card,10.0,30.0
FL1133,2025-11-21,Vistara,Chennai,Dubai,Passenger_133,Economy,9183.67,On-Time,Credit Card,10.0,15.0
FL1134,2025-10-09,Vistara,Kolkata,New York,Passenger_134,Business,19482.37,On-Time,Credit Card,10.0,
FL1135,2025-03-19,SpiceJet,Hyderabad,Bangkok,Passenger_135,First Class,7052.81,On-Time,Net Banking,7.0,30.0
FL1136,2025-06-01,IndiGo,Delhi,Singapore,Passenger_136,Economy,5574.11,Delayed,Net Banking,5.0,
FL1137,2025-06-19,IndiGo,Mumbai,Dubai,Passenger_137,Business,8827.54,On-Time,Credit Card,10.0,15.0
FL1138,2025-08-19,SpiceJet,Mumbai,Dubai,Passenger_138,Economy,6124.59,On-Time,UPI,7.0,30.0
FL1139,2025-12-02,IndiGo,Delhi,Dubai,Passenger_139,First Class,3803.42,Delayed,,10.0,25.0
FL1140,2025-09-25,Vistara,Kolkata,London,Passenger_140,Business,3352.67,Cancelled,,7.0,30.0
FL1141,2025-12-22,AirAsia,Delhi,Dubai,Passenger_141,First Class,18181.74,Cancelled,,7.0,30.0
FL1142,2025-04-28,AirAsia,Mumbai,New York,Passenger_142,Business,12456.25,Delayed,UPI,5.0,
FL1143,2025-02-12,GoAir,Hyderabad,New York,Passenger_143,Economy,14689.32,On-Time,Net Banking,10.0,25.0
FL1144,2025-02-28,Vistara,Mumbai,Paris,Passenger_144,Economy,17793.87,Cancelled,Debit Card,5.0,
FL1145,2025-11-15,SpiceJet,Bangalore,Dubai,Passenger_145,Economy,13006.1,Delayed,UPI,7.0,
FL1146,2025-11-18,GoAir,Hyderabad,Paris,Passenger_146,First Class,19211.86,On-Time,Credit Card,7.0,15.0
FL1147,2025-12-28,SpiceJet,Delhi,Singapore,Passenger_147,First Class,6811.73,Delayed,,5.0,25.0
FL1148,2025-01-13,Air India,Kolkata,London,Passenger_148,Business,,On-Time,UPI,5.0,
FL1149,2025-02-20,Air India,Chennai,New York,Passenger_149,Economy,3597.81,Delayed,Net Banking,5.0,30.0
FL1150,2025-05-22,IndiGo,Hyderabad,London,Passenger_150,First Class,16895.41,Cancelled,Debit Card,5.0,20.0
FL1151,2025-04-01,Air India,Kolkata,Singapore,Passenger_151,Business,11312.03,Delayed,Net Banking,7.0,30.0
FL1152,2025-01-05,AirAsia,Mumbai,Paris,Passenger_152,Business,10738.57,On-Time,Net Banking,10.0,15.0
FL1153,2025-11-14,GoAir,Kolkata,Singapore,Passenger_153,Business,4571.42,On-Time,,7.0,30.0
FL1154,2025-02-03,IndiGo,Mumbai,New York,Passenger_154,Business,18544.3,Delayed,,,30.0
FL1155,2025-09-11,Vistara,Delhi,Bangkok,Passenger_155,Business,17137.08,Cancelled,UPI,10.0,15.0
FL1156,2025-03-16,SpiceJet,Bangalore,Bangkok,Passenger_156,First Class,16547.02,Cancelled,Debit Card,10.0,20.0
FL1157,2025-06-13,SpiceJet,Delhi,Paris,Passenger_157,Business,9715.69,Delayed,,,30.0
FL1158,2025-02-01,Vistara,Hyderabad,Dubai,Passenger_158,Economy,15579.41,Cancelled,Net Banking,10.0,15.0
FL1159,2025-06-09,Vistara,Bangalore,Bangkok,Passenger_159,Economy,3485.25,Cancelled,,5.0,20.0
FL1160,2025-07-12,GoAir,Chennai,Dubai,Passenger_160,Business,6176.47,Delayed,UPI,7.0,30.0
FL1161,2025-06-20,IndiGo,Kolkata,Paris,Passenger_161,Economy,12139.68,Cancelled,,,30.0
FL1162,2025-06-27,AirAsia,Bangalore,New York,Passenger_162,Business,15013.83,On-Time,Net Banking,5.0,15.0
FL1163,2025-06-28,IndiGo,Chennai,Bangkok,Passenger_163,First Class,18426.16,Cancelled,Debit Card,10.0,
FL1164,2025-01-11,GoAir,Bangalore,London,Passenger_164,First Class,4062.12,Delayed,,7.0,
FL1165,2025-04-11,Vistara,Kolkata,New York,Passenger_165,Business,12863.75,Delayed,Net Banking,,20.0
FL1166,2025-12-06,GoAir,Bangalore,Bangkok,Passenger_166,Business,19407.6,Cancelled,UPI,,20.0
FL1167,2025-06-08,Vistara,Bangalore,Singapore,Passenger_167,Economy,17509.31,On-Time,Net Banking,10.0,25.0
FL1168,2025-03-10,AirAsia,Bangalore,Dubai,Passenger_168,Business,16047.27,Delayed,UPI,10.0,30.0
FL1169,2025-08-04,GoAir,Chennai,Paris,Passenger_169,Business,5555.26,Delayed,Net Banking,7.0,
FL1170,2025-08-18,AirAsia,Bangalore,Bangkok,Passenger_170,Business,,On-Time,Debit Card,5.0,
FL1171,2025-01-22,Vistara,Mumbai,Bangkok,Passenger_171,Economy,13683.36,Delayed,Net Banking,5.0,15.0
FL1172,2025-12-28,GoAir,Mumbai,Singapore,Passenger_172,Business,17441.53,On-Time,UPI,,
FL1173,2025-11-03,Air India,Mumbai,Singapore,Passenger_173,Economy,3434.97,Cancelled,Debit Card,10.0,15.0
FL1174,2025-04-06,Vistara,Kolkata,Bangkok,Passenger_174,Business,,Cancelled,Debit Card,7.0,15.0
FL1175,2025-07-08,SpiceJet,Kolkata,London,Passenger_175,Economy,3277.38,Cancelled,,,
FL1176,2025-01-18,IndiGo,Chennai,Bangkok,Passenger_176,First Class,9285.52,Cancelled,Debit Card,,25.0
FL1177,2025-11-25,IndiGo,Delhi,Bangkok,Passenger_177,Economy,18975.68,On-Time,UPI,10.0,20.0
FL1178,2025-08-21,AirAsia,Chennai,Paris,Passenger_178,First Class,12319.1,Cancelled,UPI,,25.0
FL1179,2025-01-03,Vistara,Hyderabad,Paris,Passenger_179,Economy,17399.55,Cancelled,Credit Card,7.0,30.0
FL1180,2025-02-20,AirAsia,Chennai,Singapore,Passenger_180,Business,18751.16,Cancelled,,10.0,
FL1181,2025-02-14,SpiceJet,Hyderabad,London,Passenger_181,Business,13979.43,On-Time,Credit Card,,20.0
FL1182,2025-01-17,Vistara,Hyderabad,Singapore,Passenger_182,First Class,6110.47,On-Time,UPI,7.0,15.0
FL1183,2025-06-28,SpiceJet,Mumbai,London,Passenger_183,Business,18746.35,On-Time,Debit Card,7.0,25.0
FL1184,2025-08-11,Vistara,Kolkata,Singapore,Passenger_184,Business,15020.93,On-Time,UPI,5.0,25.0
FL1185,2025-04-11,SpiceJet,Mumbai,London,Passenger_185,Economy,17523.63,Delayed,UPI,,25.0
FL1186,2025-12-25,GoAir,Bangalore,Dubai,Passenger_186,Economy,9454.6,On-Time,Credit Card,5.0,
FL1187,2025-10-07,IndiGo,Hyderabad,New York,Passenger_187,Economy,16345.38,Delayed,Net Banking,5.0,20.0
FL1188,2025-09-05,Vistara,Kolkata,Paris,Passenger_188,Business,8264.62,Cancelled,Net Banking,,20.0
FL1189,2025-04-03,IndiGo,Chennai,London,Passenger_189,First Class,16450.77,On-Time,Credit Card,10.0,30.0
FL1190,2025-11-20,IndiGo,Chennai,Dubai,Passenger_190,Economy,13516.66,Cancelled,Debit Card,5.0,25.0
FL1191,2025-08-12,SpiceJet,Kolkata,Paris,Passenger_191,Economy,16691.35,Cancelled,UPI,,25.0
FL1192,2025-08-19,GoAir,Bangalore,Singapore,Passenger_192,Business,9370.42,Cancelled,Net Banking,10.0,30.0
FL1193,2025-03-16,Air India,Kolkata,Dubai,Passenger_193,First Class,11008.38,On-Time,Credit Card,,20.0
FL1194,2025-02-07,AirAsia,Chennai,Bangkok,Passenger_194,First Class,19064.97,On-Time,UPI,,15.0
FL1195,2025-08-20,Vistara,Mumbai,London,Passenger_195,Business,11534.53,On-Time,Debit Card,,30.0
FL1196,2025-05-06,Vistara,Delhi,Singapore,Passenger_196,Business,17636.39,On-Time,Debit Card,7.0,20.0
FL1197,2025-04-21,Air India,Mumbai,Dubai,Passenger_197,First Class,8939.22,On-Time,Debit Card,10.0,15.0
FL1198,2025-01-22,IndiGo,Mumbai,New York,Passenger_198,Business,3785.33,Delayed,Net Banking,7.0,25.0
FL1199,2025-11-24,AirAsia,Chennai,London,Passenger_199,First Class,18937.83,Cancelled,UPI,5.0,15.0
FL1200,2025-03-01,IndiGo,Hyderabad,New York,Passenger_200,Business,4468.1,Delayed,,,25.0
FL1201,2025-09-23,IndiGo,Delhi,Paris,Passenger_201,First Class,19782.25,Delayed,,7.0,30.0
FL1202,2025-05-27,SpiceJet,Chennai,Singapore,Passenger_202,Business,17625.15,On-Time,Net Banking,5.0,20.0
FL1203,2025-01-14,AirAsia,Mumbai,Dubai,Passenger_203,First Class,15732.78,Cancelled,Credit Card,,
FL1204,2025-05-10,Vistara,Hyderabad,London,Passenger_204,First Class,8083.56,On-Time,Credit Card,5.0,25.0
FL1205,2025-09-24,SpiceJet,Delhi,London,Passenger_205,Economy,16747.06,On-Time,Debit Card,5.0,25.0
FL1206,2025-05-28,GoAir,Delhi,Paris,Passenger_206,First Class,13656.69,Delayed,Credit Card,10.0,30.0
FL1207,2025-07-11,SpiceJet,Chennai,Singapore,Passenger_207,Business,,Cancelled,Net Banking,,15.0
FL1208,2025-09-24,GoAir,Kolkata,Paris,Passenger_208,Business,14314.74,Cancelled,Debit Card,7.0,
FL1209,2025-08-22,Air India,Bangalore,Bangkok,Passenger_209,Economy,15093.39,Delayed,Debit Card,,
FL1210,2025-03-24,Air India,Bangalore,Paris,Passenger_210,Business,13082.3,Cancelled,UPI,7.0,
FL1211,2025-06-10,Vistara,Mumbai,Bangkok,Passenger_211,First Class,6483.92,Cancelled,Debit Card,5.0,20.0
FL1212,2025-12-23,Vistara,Hyderabad,Bangkok,Passenger_212,First Class,6734.84,Delayed,,10.0,25.0
FL1213,2025-03-22,AirAsia,Hyderabad,Bangkok,Passenger_213,Business,11562.89,Delayed,Debit Card,,15.0
FL1214,2025-05-07,GoAir,Delhi,Dubai,Passenger_214,Economy,10199.35,Delayed,Credit Card,7.0,25.0
FL1215,2025-04-09,IndiGo,Kolkata,Paris,Passenger_215,First Class,19325.57,Cancelled,Debit Card,,30.0
FL1216,2025-11-24,SpiceJet,Kolkata,London,Passenger_216,Business,5688.7,Cancelled,Credit Card,,15.0
FL1217,2025-08-27,SpiceJet,Delhi,London,Passenger_217,Economy,19418.92,On-Time,Debit Card,5.0,25.0
FL1218,2025-07-08,SpiceJet,Chennai,Paris,Passenger_218,First Class,16852.63,Cancelled,UPI,10.0,25.0
FL1219,2025-09-15,AirAsia,Chennai,Dubai,Passenger_219,First Class,5115.64,Cancelled,,,20.0
FL1220,2025-10-03,GoAir,Bangalore,Paris,Passenger_220,Business,12112.29,On-Time,Net Banking,5.0,
FL1221,2025-05-23,SpiceJet,Bangalore,Singapore,Passenger_221,Economy,16794.95,On-Time,UPI,,25.0
FL1222,2025-05-21,Vistara,Chennai,Dubai,Passenger_222,Economy,6838.4,On-Time,UPI,10.0,
FL1223,2025-11-07,AirAsia,Kolkata,Singapore,Passenger_223,Economy,14237.66,Cancelled,Debit Card,,25.0
FL1224,2025-10-25,Air India,Delhi,Singapore,Passenger_224,Business,18568.56,Cancelled,,10.0,30.0
FL1225,2025-07-09,AirAsia,Chennai,New York,Passenger_225,First Class,4644.49,Cancelled,Credit Card,,
FL1226,2025-01-16,SpiceJet,Kolkata,Dubai,Passenger_226,First Class,19906.98,Delayed,UPI,5.0,
FL1227,2025-09-22,Vistara,Hyderabad,Bangkok,Passenger_227,Economy,15928.14,Cancelled,Net Banking,7.0,15.0
FL1228,2025-02-24,IndiGo,Bangalore,Paris,Passenger_228,First Class,9557.53,On-Time,UPI,7.0,25.0
FL1229,2025-08-23,SpiceJet,Bangalore,Paris,Passenger_229,First Class,10822.22,Delayed,UPI,7.0,30.0
FL1230,2025-10-23,SpiceJet,Mumbai,London,Passenger_230,Economy,9901.48,Delayed,Debit Card,,
FL1231,2025-03-01,IndiGo,Mumbai,Bangkok,Passenger_231,Economy,13664.46,Delayed,,10.0,15.0
FL1232,2025-06-19,AirAsia,Hyderabad,Bangkok,Passenger_232,Economy,7646.36,Delayed,Net Banking,5.0,
FL1233,2025-04-17,GoAir,Chennai,Bangkok,Passenger_233,Business,11634.54,Cancelled,UPI,,25.0
